Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-230308,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1310,0.999249145389802,-6.643723964691162,-8.387616,1.130561e-10,1.353872e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-190621,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1310,0.9985894682450306,-7.048968315124512,-10.36317,1.203047e-10,1.222319e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-201404,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1310,0.9992155381699227,-6.105777740478516,-3.546443,1.223995e-10,1.327059e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-154329,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.9983471439286778,-5.597927093505859,-3.100782,1.200114e-10,1.300665e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-175843,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1310,0.9989170374336546,-5.590353012084961,-7.802221,1.209331e-10,1.291028e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-172453,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1310,0.9982170406814258,-5.61832857131958,-10.90647,1.228184e-10,1.283068e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-204749,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1310,0.9989615576984966,-5.9893999099731445,-9.31771,1.191315e-10,1.277203e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-215528,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1310,0.9988753221087828,-5.527715682983398,-10.95438,1.204304e-10,1.300245e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-212138,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1310,0.998645591638145,-5.8534255027771,-3.717842,1.218548e-10,1.334181e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-230159,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1310,0.9984667037207525,-5.46799373626709,0.9999999,3.047158e-07,0.004221569
